timestamp,datetime,gps1_lat,gps1_lon,gps1_x,gps1_y,gps2_lat,gps2_lon,gps2_x,gps2_y,gps3_lat,gps3_lon,gps3_x,gps3_y,estimated_x,estimated_y,smoothed_x,smoothed_y
1747921509.2495756,2025-05-22 20:45:09.249576,-7.283634166666666,112.79650766666667,4.601131721042879,-7.538696738787607,-7.283593833333334,112.79648383333333,1.9692845517332582,-3.078147517903325,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844384,0.15,0.08660254037844384
1747921509.3570046,2025-05-22 20:45:09.357005,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844385
1747921509.462645,2025-05-22 20:45:09.462645,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844387
1747921509.5684893,2025-05-22 20:45:09.568489,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844387
1747921509.6748462,2025-05-22 20:45:09.674846,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921509.7811666,2025-05-22 20:45:09.781167,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921509.8869948,2025-05-22 20:45:09.886995,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921509.9941025,2025-05-22 20:45:09.994102,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921510.1001093,2025-05-22 20:45:10.100109,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844388
1747921510.2117252,2025-05-22 20:45:10.211725,-7.283634166666666,112.79650683333334,4.50910908574876,-7.538696730425008,-7.2835935,112.79648333333333,1.9140709676142091,-3.041283473803893,-7.283623,112.79648133333333,1.6932165146230758,-6.303751157248035,0.15,0.08660254037844388,0.15,0.08660254037844388
